user_id,n_days,n_points,points_day,meandist_km,mediandist_km,mindist_km,maxdist_km,meandist_weekday_km,mediandist_weekday_km,meandist_weekend_km,mediandist_weekend_km
04799a7c-e2c5-fb43-5db4-ca426eeedac2,26,8462,325.4615385,49.499,32.116,8.102,299.523,39.86,34.11,75.674,30.124
dc3bd2ee-704c-c0ae-6f56-cc5f5a0bfd8c,29,9782,337.3103448,777.012,330.865,0.337,4796.911,660.344,273.92,998.683,513.86
58df3c75-4ce0-eead-c3bb-9ea03cfaf7d3,19,6472,340.6315789,702.84,343.15,0,4563.19,675.65,248.67,779,429.2
f0ca01dd-ab4a-7aca-78ee-d3dcecc7919d,29,9954,343.2413793,1104.986,477.955,0.296,1198.084,549.708,357.104,2562.593,1336.651
f4b5e6fa-a046-c70f-ce81-7d03d146672d,24,9122,380.0833333,186.0986438,109.7729,0.0914,807.7478,161.8424,60.594,258.87,156.12
f9f4e042-ef17-d565-e6d6-de33dd849b65,77,29410,381.9480519,255.998,4.25,0.031,5921.195,62.7389,3.3041,739.146,52.501
ec4ab567-4b1d-3bd8-746d-8644e96c7dbe,27,10524,389.7777778,4727.765,4.547,0.016,59013.964,3590.222,19.751,7977.888,3.763
6cbb1d9a-a4bd-626e-8cb0-00ab58e5929a,16,6246,390.375,451.7,141.93,0.04,3041.46,459.6,155.34,428.023,86.402
f2b684e2-8139-f0b6-dcf8-e0bcd6d38afb,70,27928,398.9714286,2341.76,286.81,0,38746.73,1199.18,248.62,5198.2,279.79
96f0a334-bd0a-3b27-e1c7-30a2997095f9,30,12802,426.7333333,1535.807,268.347,0.013,12717.952,1515.718,111.873,1582.683,374.855
e047df51-6928-4afb-5507-a823b7963bd6,35,15370,439.1428571,979.034,0.315,0,18292.867,1308.182,0.0445,156.16,0.0893
45db6bb3-da04-fcfb-b476-1c13725d943f,15,6670,444.6666667,263.5,79.83,12.63,1446.59,104.52,67.67,581.4,466.7
26a4c927-443b-47fa-2120-e6d42287e5b4,22,9972,453.2727273,66.9957,1.0705,0.001,1031.115,74.5023,0.9125,41.47,14.3228
481af689-54cd-996f-6bb0-efcf32f153d2,43,20554,478,4678.7,359.5,14.6,61800.5,5771.39,341.14,1855.8,433.3
3b63218a-e60c-8eca-3012-9b0cd52e7e77,36,17676,491,266.94,32.99,0.01,47385.06,1849.547,44.489,4792.16,25.55
